R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   zbot_avg zbot_min zbot_max
 0.46000D+12 0.31623D+15   0.0150   22.208   20.382   24.729
 0.46000D+12 0.35481D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.39811D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.44668D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.50119D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.56234D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.63096D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.70795D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.79433D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.89125D+15   0.0150   21.972   20.382   23.595
 0.46000D+12 0.10000D+16   0.0150   21.972   20.382   23.595
 0.47000D+12 0.10000D+14   0.0150  130.818  127.389  133.982
 0.47000D+12 0.11220D+14   0.0150  129.370  125.696  132.769
 0.47000D+12 0.12589D+14   0.0150  127.780  123.850  131.432
 0.47000D+12 0.14125D+14   0.0150  126.030  121.843  129.940
 0.47000D+12 0.15849D+14   0.0150  124.102  119.646  128.281
 0.47000D+12 0.17783D+14   0.0150  121.975  117.259  126.420
 0.47000D+12 0.19953D+14   0.0150  119.628  114.649  124.343
 0.47000D+12 0.22387D+14   0.0150  117.038  111.810  122.010
 0.47000D+12 0.25119D+14   0.0150  114.183  108.719  119.410
 0.47000D+12 0.28184D+14   0.0150  111.042  105.356  116.500
 0.47000D+12 0.31623D+14   0.0150  107.599  101.716  113.281
 0.47000D+12 0.35481D+14   0.0150  103.842   97.774  109.720
 0.47000D+12 0.39811D+14   0.0150   99.766   93.536  105.823
 0.47000D+12 0.44668D+14   0.0150   95.379   89.012  101.596
 0.47000D+12 0.50119D+14   0.0150   90.698   84.218   97.047
 0.47000D+12 0.56234D+14   0.0150   85.753   79.171   92.210
 0.47000D+12 0.63096D+14   0.0150   80.587   73.927   87.136
 0.47000D+12 0.70795D+14   0.0150   75.253   68.537   81.870
 0.47000D+12 0.79433D+14   0.0150   69.812   63.062   76.472
 0.47000D+12 0.89125D+14   0.0150   64.332   57.570   71.011
 0.47000D+12 0.10000D+15   0.0150   58.882   52.131   65.555
 0.47000D+12 0.11220D+15   0.0150   53.529   46.814   60.171
 0.47000D+12 0.12589D+15   0.0150   48.339   41.686   54.923
 0.47000D+12 0.14125D+15   0.0150   43.367   36.799   49.867
