R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   33.17   39.71 0.10934D-08  1  0  0.00949  269.86  268.74 0.11274D+15  2.196   13.605   13.033    6.735   39.110   10.81   13.32   32.73
   33.49   40.10 0.10831D-08  1  0  0.00952  269.83  268.73 0.11250D+15  2.196   13.474   12.902    6.681   39.055   10.82   13.31   33.06
   33.81   40.49 0.10730D-08  1  0  0.00954  269.79  268.71 0.11226D+15  2.196   13.346   12.774    6.627   39.001   10.83   13.31   33.39
   34.13   40.88 0.10631D-08  1  0  0.00957  269.76  268.70 0.11202D+15  2.197   13.220   12.648    6.574   38.947   10.84   13.31   33.72
   34.45   41.28 0.10534D-08  1  0  0.00960  269.72  268.69 0.11179D+15  2.197   13.097   12.525    6.521   38.894   10.85   13.31   34.04
   34.78   41.67 0.10438D-08  1  0  0.00962  269.69  268.68 0.11156D+15  2.197   12.975   12.404    6.469   38.842   10.86   13.30   34.37
   35.10   42.06 0.10345D-08  1  0  0.00965  269.65  268.67 0.11133D+15  2.198   12.856   12.285    6.417   38.790   10.87   13.30   34.70
   35.42   42.45 0.10253D-08  1  0  0.00968  269.61  268.65 0.11110D+15  2.198   12.740   12.168    6.366   38.738   10.88   13.30   35.03
   35.74   42.84 0.10162D-08  1  0  0.00970  269.58  268.64 0.11088D+15  2.198   12.625   12.053    6.315   38.687   10.89   13.30   35.36
   36.06   43.24 0.10074D-08  1  0  0.00973  269.54  268.63 0.11066D+15  2.199   12.512   11.941    6.264   38.636   10.90   13.30   35.68
   36.39   43.63 0.99868D-09  1  0  0.00976  269.51  268.62 0.11044D+15  2.199   12.401   11.830    6.214   38.586   10.91   13.30   36.01
   36.71   44.02 0.99012D-09  1  0  0.00979  269.47  268.60 0.11022D+15  2.199   12.293   11.721    6.164   38.536   10.92   13.30   36.34
   37.03   44.41 0.98172D-09  1  0  0.00981  269.44  268.59 0.11000D+15  2.200   12.186   11.614    6.115   38.486   10.93   13.30   36.67
   37.35   44.80 0.97346D-09  1  0  0.00984  269.40  268.58 0.10979D+15  2.200   12.081   11.509    6.066   38.437   10.94   13.30   37.00
   37.67   45.20 0.96534D-09  1  0  0.00987  269.36  268.56 0.10957D+15  2.200   11.977   11.406    6.018   38.388   10.95   13.30   37.33
   38.00   45.59 0.95735D-09  1  0  0.00990  269.33  268.55 0.10936D+15  2.200   11.876   11.305    5.969   38.340   10.96   13.30   37.66
   38.32   45.98 0.94951D-09  1  0  0.00993  269.29  268.54 0.10915D+15  2.201   11.776   11.205    5.921   38.292   10.97   13.30   37.99
   38.64   46.37 0.94179D-09  1  0  0.00995  269.26  268.52 0.10894D+15  2.201   11.678   11.107    5.874   38.244   10.98   13.30   38.31
   38.96   46.77 0.93420D-09  1  0  0.00998  269.22  268.51 0.10874D+15  2.201   11.581   11.010    5.827   38.197   10.99   13.30   38.64
   39.28   47.16 0.92674D-09  1  0  0.01001  269.18  268.49 0.10853D+15  2.202   11.486   10.916    5.780   38.150   10.99   13.30   38.97
   39.61   47.55 0.91939D-09  1  0  0.01004  269.15  268.48 0.10833D+15  2.202   11.393   10.822    5.733   38.104   11.00   13.30   39.30
   39.93   47.94 0.91217D-09  1  0  0.01007  269.11  268.46 0.10813D+15  2.202   11.301   10.730    5.687   38.058   11.01   13.30   39.63
   40.25   48.34 0.90506D-09  1  0  0.01010  269.07  268.45 0.10793D+15  2.203   11.211   10.640    5.641   38.012   11.02   13.30   39.96
   40.57   48.73 0.89806D-09  1  0  0.01013  269.04  268.43 0.10773D+15  2.203   11.122   10.551    5.596   37.966   11.03   13.30   40.29
   40.89   49.12 0.89118D-09  1  0  0.01016  269.00  268.42 0.10754D+15  2.203   11.034   10.463    5.551   37.921   11.04   13.30   40.62
