R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.78433D-09 0.76500D+12 0.50119D+15   0.0150  1   35.420  0.01454  269.50  269.75    1.202   26.132   16.12
 0.84445D-09 0.76500D+12 0.56234D+15   0.0150  1   32.844  0.01422  269.80  270.10    0.910   25.855   16.35
 0.79853D-09 0.76500D+12 0.63096D+15   0.0150  1   34.776  0.01446  269.57  270.30    0.139   25.116   16.79
 0.44815D-09 0.76500D+12 0.70795D+15   0.0150  1   63.112  0.01905  266.01  266.87   -2.492   22.688   19.20
 0.47126D-09 0.76500D+12 0.79433D+15   0.0150  1   59.892  0.01840  266.45  267.23   -2.863   22.336   19.60
 0.49699D-09 0.76500D+12 0.89125D+15   0.0150  1   56.672  0.01778  266.88  267.55   -3.229   21.984   20.01
 0.52280D-09 0.76500D+12 0.10000D+16   0.0150  1   53.774  0.01727  267.26  267.86   -3.599   21.628   20.42
 0.36790D-09 0.78000D+12 0.22387D+15   0.0150  1   79.212  0.02309  263.61  264.94    1.003   26.377   14.98
 0.43365D-09 0.78000D+12 0.25119D+15   0.0150  1   66.654  0.01982  265.51  266.39    1.522   26.868   15.00
 0.49326D-09 0.78000D+12 0.28184D+15   0.0150  1   58.282  0.01808  266.67  267.32    1.655   27.007   15.11
 0.55222D-09 0.78000D+12 0.31623D+15   0.0150  1   51.842  0.01693  267.51  268.03    1.631   26.997   15.26
 0.61940D-09 0.78000D+12 0.35481D+15   0.0150  1   46.046  0.01601  268.24  268.65    1.571   26.953   15.41
 0.68983D-09 0.78000D+12 0.39811D+15   0.0150  1   41.216  0.01531  268.82  269.16    1.447   26.845   15.57
 0.77229D-09 0.78000D+12 0.44668D+15   0.0150  1   36.708  0.01471  269.35  269.62    1.322   26.733   15.73
 0.86100D-09 0.78000D+12 0.50119D+15   0.0150  1   32.844  0.01422  269.80  270.01    1.161   26.586   15.90
 0.85282D-09 0.78000D+12 0.56234D+15   0.0150  1   33.166  0.01426  269.76  270.27    0.543   25.994   16.26
 0.45471D-09 0.78000D+12 0.63096D+15   0.0150  1   63.434  0.01912  265.97  266.83   -2.309   23.347   18.65
 0.47803D-09 0.78000D+12 0.70795D+15   0.0150  1   60.214  0.01846  266.41  267.18   -2.691   22.985   19.04
 0.50398D-09 0.78000D+12 0.79433D+15   0.0150  1   56.994  0.01784  266.84  267.51   -3.070   22.623   19.43
 0.52998D-09 0.78000D+12 0.89125D+15   0.0150  1   54.096  0.01732  267.22  267.82   -3.451   22.257   19.84
