R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   20.29   24.06 0.17019D-08  1  0  0.01283  271.18  268.64 0.12917D+15  2.184   22.228   21.654   10.280   41.366   10.39   13.93   19.64
   20.61   24.45 0.16756D-08  1  0  0.01287  271.14  268.64 0.12879D+15  2.185   21.881   21.307   10.189   41.273   10.41   13.90   19.97
   20.93   24.84 0.16502D-08  1  0  0.01290  271.11  268.64 0.12842D+15  2.185   21.545   20.971   10.101   41.183   10.43   13.87   20.29
   21.25   25.23 0.16255D-08  1  0  0.01293  271.07  268.64 0.12806D+15  2.185   21.218   20.645   10.013   41.094   10.44   13.84   20.62
   21.57   25.62 0.16016D-08  1  0  0.01296  271.04  268.63 0.12770D+15  2.186   20.902   20.328    9.927   41.006   10.46   13.82   20.94
   21.90   26.01 0.15784D-08  1  0  0.01300  271.01  268.63 0.12734D+15  2.186   20.595   20.021    9.842   40.919   10.48   13.79   21.27
   22.22   26.40 0.15558D-08  1  0  0.01303  270.97  268.63 0.12699D+15  2.186   20.296   19.723    9.759   40.834   10.50   13.77   21.59
   22.54   26.79 0.15339D-08  1  0  0.01306  270.94  268.62 0.12664D+15  2.187   20.006   19.433    9.676   40.750   10.51   13.75   21.92
   22.86   27.18 0.15126D-08  1  0  0.01310  270.90  268.62 0.12630D+15  2.187   19.725   19.151    9.595   40.668   10.53   13.73   22.24
   23.18   27.57 0.14919D-08  1  0  0.01313  270.87  268.61 0.12597D+15  2.187   19.451   18.877    9.516   40.586   10.55   13.71   22.57
   23.51   27.96 0.14718D-08  1  0  0.01317  270.83  268.61 0.12564D+15  2.187   19.185   18.611    9.437   40.506   10.56   13.69   22.89
   23.83   28.35 0.14522D-08  1  0  0.01320  270.80  268.60 0.12531D+15  2.188   18.925   18.352    9.359   40.427   10.58   13.67   23.22
   24.15   28.74 0.14331D-08  1  0  0.01323  270.76  268.60 0.12499D+15  2.188   18.673   18.100    9.283   40.349   10.60   13.65   23.54
   24.47   29.13 0.14146D-08  1  0  0.01327  270.73  268.59 0.12467D+15  2.188   18.428   17.854    9.207   40.272   10.61   13.64   23.87
   24.79   29.52 0.13965D-08  1  0  0.01330  270.69  268.59 0.12436D+15  2.189   18.188   17.615    9.133   40.196   10.63   13.63   24.19
   25.12   29.91 0.13789D-08  1  0  0.01334  270.66  268.58 0.12405D+15  2.189   17.955   17.382    9.059   40.122   10.64   13.61   24.52
   25.44   30.30 0.13617D-08  1  0  0.01337  270.62  268.57 0.12374D+15  2.189   17.728   17.155    8.987   40.048   10.66   13.60   24.84
   25.76   30.69 0.13450D-08  1  0  0.01341  270.59  268.56 0.12344D+15  2.190   17.506   16.933    8.915   39.975   10.67   13.59   25.17
   26.08   31.08 0.13286D-08  1  0  0.01344  270.55  268.56 0.12315D+15  2.190   17.290   16.717    8.845   39.903   10.69   13.58   25.50
   26.40   31.47 0.13127D-08  1  0  0.01348  270.52  268.55 0.12285D+15  2.190   17.080   16.507    8.775   39.832   10.70   13.56   25.82
   26.73   31.86 0.12972D-08  1  0  0.01351  270.48  268.54 0.12256D+15  2.190   16.874   16.301    8.706   39.762   10.72   13.55   26.15
   27.05   32.25 0.12820D-08  1  0  0.01355  270.44  268.53 0.12227D+15  2.191   16.673   16.100    8.638   39.692   10.73   13.55   26.47
   27.37   32.64 0.12672D-08  1  0  0.01358  270.41  268.53 0.12199D+15  2.191   16.477   15.904    8.570   39.624   10.75   13.54   26.80
   27.69   33.03 0.12527D-08  1  0  0.01362  270.37  268.52 0.12171D+15  2.191   16.285   15.713    8.504   39.556   10.76   13.53   27.12
