R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.45000D+12 0.12589D+14   0.0150   11.867   10.966   12.852
 0.45000D+12 0.14125D+14   0.0150   11.956   11.072   12.922
 0.45000D+12 0.15849D+14   0.0150   12.049   11.184   12.993
 0.45000D+12 0.17783D+14   0.0150   12.147   11.302   13.066
 0.45000D+12 0.19953D+14   0.0150   12.249   11.424   13.141
 0.45000D+12 0.22387D+14   0.0150   12.356   11.553   13.221
 0.45000D+12 0.25119D+14   0.0150   12.469   11.686   13.307
 0.45000D+12 0.28184D+14   0.0150   12.588   11.824   13.400
 0.45000D+12 0.31623D+14   0.0150   12.714   11.968   13.503
 0.45000D+12 0.35481D+14   0.0150   12.847   12.116   13.615
 0.45000D+12 0.39811D+14   0.0150   12.988   12.268   13.738
 0.45000D+12 0.44668D+14   0.0150   13.135   12.425   13.872
 0.45000D+12 0.50119D+14   0.0150   13.288   12.585   14.016
 0.45000D+12 0.56234D+14   0.0150   13.448   12.749   14.170
 0.45000D+12 0.63096D+14   0.0150   13.613   12.914   14.333
 0.45000D+12 0.70795D+14   0.0150   13.781   13.081   14.503
 0.45000D+12 0.79433D+14   0.0150   13.952   13.247   14.678
 0.45000D+12 0.89125D+14   0.0150   14.123   13.411   14.857
 0.45000D+12 0.10000D+15   0.0150   14.294   13.572   15.037
 0.45000D+12 0.11220D+15   0.0150   14.461   13.726   15.218
 0.45000D+12 0.12589D+15   0.0150   14.624   13.872   15.397
 0.45000D+12 0.14125D+15   0.0150   14.780   14.008   15.574
 0.45000D+12 0.15849D+15   0.0150   14.930   14.131   15.748
 0.45000D+12 0.17783D+15   0.0150   15.070   14.240   15.918
 0.45000D+12 0.19953D+15   0.0150   15.201   14.334   16.084
 0.45000D+12 0.22387D+15   0.0150   15.323   14.410   16.245
 0.45000D+12 0.25119D+15   0.0150   16.824   14.581   21.854
 0.45000D+12 0.28184D+15   0.0150   18.260   15.150   22.690
 0.45000D+12 0.31623D+15   0.0150   19.690   16.071   23.313
 0.45000D+12 0.35481D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.39811D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.44668D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.50119D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.56234D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.63096D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.70795D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.79433D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.89125D+15   0.0150   22.146   20.565   23.758
 0.45000D+12 0.10000D+16   0.0150   22.146   20.565   23.758
 0.46000D+12 0.10000D+14   0.0150   11.583   10.659   12.594
