R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.22875D+13 0.66885D-08 0.10000D+15   0.0000  0   11.945  0.00000  272.04  271.99    0.000   74.704   11.95
 0.23000D+13 0.69053D-08 0.10000D+15   0.0000  0   11.881  0.00000  272.04  272.04    0.000   75.113   11.88
 0.23125D+13 0.69429D-08 0.10000D+15   0.0000  0   11.818  0.00000  272.05  272.09    0.000   75.521   11.82
 0.23250D+13 0.69804D-08 0.10000D+15   0.0000  0   11.756  0.00000  272.05  272.14    0.000   75.929   11.76
 0.23375D+13 0.70179D-08 0.10000D+15   0.0000  0   11.693  0.00000  272.06  272.19   -0.000   76.337   11.69
 0.23500D+13 0.70555D-08 0.10000D+15   0.0000  0   11.631  0.00000  272.07  272.24    0.000   76.745   11.63
 0.23625D+13 0.72885D-08 0.10000D+15   0.0000  0   11.569  0.00000  272.07  272.29   -0.000   77.154   11.57
 0.23750D+13 0.73271D-08 0.10000D+15   0.0000  0   11.510  0.00000  272.08  272.34    0.000   77.562   11.51
 0.23875D+13 0.73656D-08 0.10000D+15   0.0000  0   11.451  0.00000  272.08  272.39   -0.000   77.970   11.45
 0.24000D+13 0.74042D-08 0.10000D+15   0.0000  0   11.392  0.00000  272.09  272.43   -0.000   78.378   11.39
 0.24125D+13 0.74428D-08 0.10000D+15   0.0000  0   11.332  0.00000  272.09  272.48   -0.000   78.787   11.33
 0.24250D+13 0.74813D-08 0.10000D+15   0.0000  0   11.273  0.00000  272.10  272.53   -0.000   79.195   11.27
 0.24375D+13 0.77332D-08 0.10000D+15   0.0000  0   11.217  0.00000  272.11  272.58   -0.000   79.603   11.22
 0.24500D+13 0.77728D-08 0.10000D+15   0.0000  0   11.161  0.00000  272.11  272.63   -0.000   80.011   11.16
 0.24625D+13 0.78125D-08 0.10000D+15   0.0000  0   11.105  0.00000  272.12  272.68   -0.000   80.419   11.11
 0.24750D+13 0.78521D-08 0.10000D+15   0.0000  0   11.049  0.00000  272.12  272.73   -0.000   80.828   11.05
 0.24875D+13 0.78918D-08 0.10000D+15   0.0000  0   10.993  0.00000  272.13  272.77    0.000   81.236   10.99
 0.25000D+13 0.81630D-08 0.10000D+15   0.0000  0   10.938  0.00000  272.13  272.82    0.000   81.644   10.94
 0.25125D+13 0.82038D-08 0.10000D+15   0.0000  0   10.885  0.00000  272.14  272.87   -0.000   82.052   10.89
 0.25250D+13 0.82447D-08 0.10000D+15   0.0000  0   10.833  0.00000  272.14  272.92   -0.000   82.461   10.83
 0.25375D+13 0.82855D-08 0.10000D+15   0.0000  0   10.780  0.00000  272.15  272.96   -0.000   82.869   10.78
 0.25500D+13 0.83263D-08 0.10000D+15   0.0000  0   10.727  0.00000  272.15  273.01    0.000   83.277   10.73
 0.25625D+13 0.83671D-08 0.10000D+15   0.0000  0   10.674  0.00000  272.16  273.06    0.000   83.685   10.67
 0.25750D+13 0.86609D-08 0.10000D+15   0.0000  0   10.622  0.00000  272.16  273.10    0.000   84.093   10.62
 0.25875D+13 0.87030D-08 0.10000D+15   0.0000  0   10.572  0.00000  272.17  273.15    0.000   84.502   10.57
 0.26000D+13 0.87450D-08 0.10000D+15   0.0000  0   10.523  0.00000  272.17  273.20    0.000   84.910   10.52
 0.26125D+13 0.87870D-08 0.10000D+15   0.0000  0   10.473  0.00000  272.18  273.25   -0.000   85.318   10.47
 0.26250D+13 0.88291D-08 0.10000D+15   0.0000  0   10.423  0.00000  272.18  273.29    0.000   85.726   10.42
 0.26375D+13 0.88711D-08 0.10000D+15   0.0000  0   10.374  0.00000  272.19  273.34    0.000   86.135   10.37
 0.26500D+13 0.89132D-08 0.10000D+15   0.0000  0   10.324  0.00000  272.19  273.38    0.000   86.543   10.32
 0.26625D+13 0.92332D-08 0.10000D+15   0.0000  0   10.276  0.00000  272.20  273.43   -0.000   86.951   10.28
 0.26750D+13 0.92765D-08 0.10000D+15   0.0000  0   10.230  0.00000  272.20  273.47   -0.000   87.359   10.23
 0.26875D+13 0.93199D-08 0.10000D+15   0.0000  0   10.183  0.00000  272.20  273.52    0.000   87.767   10.18
 0.27000D+13 0.93632D-08 0.10000D+15   0.0000  0   10.136  0.00000  272.21  273.57    0.000   88.176   10.14
 0.27125D+13 0.94065D-08 0.10000D+15   0.0000  0   10.090  0.00000  272.21  273.61    0.000   88.584   10.09
 0.27250D+13 0.94499D-08 0.10000D+15   0.0000  0   10.043  0.00000  272.22  273.66   -0.000   88.992   10.04
 0.27375D+13 0.94932D-08 0.10000D+15   0.0000  0    9.996  0.00000  272.22  273.70   -0.000   89.400   10.00
 0.27500D+13 0.98422D-08 0.10000D+15   0.0000  0    9.952  0.00000  272.23  273.75    0.000   89.808    9.95
 0.27625D+13 0.98869D-08 0.10000D+15   0.0000  0    9.908  0.00000  272.23  273.79   -0.000   90.217    9.91
 0.27750D+13 0.99317D-08 0.10000D+15   0.0000  0    9.864  0.00000  272.23  273.84   -0.000   90.625    9.86
 0.27875D+13 0.99764D-08 0.10000D+15   0.0000  0    9.821  0.00000  272.24  273.88    0.000   91.033    9.82
 0.28000D+13 0.10021D-07 0.10000D+15   0.0000  0    9.777  0.00000  272.24  273.93    0.000   91.441    9.78
 0.28125D+13 0.10066D-07 0.10000D+15   0.0000  0    9.733  0.00000  272.25  273.97    0.000   91.850    9.73
 0.28250D+13 0.10111D-07 0.10000D+15   0.0000  0    9.690  0.00000  272.25  274.01    0.000   92.258    9.69
 0.28375D+13 0.10492D-07 0.10000D+15   0.0000  0    9.647  0.00000  272.26  274.06   -0.000   92.666    9.65
 0.28500D+13 0.10538D-07 0.10000D+15   0.0000  0    9.606  0.00000  272.26  274.10   -0.000   93.074    9.61
 0.28625D+13 0.10584D-07 0.10000D+15   0.0000  0    9.565  0.00000  272.26  274.15   -0.000   93.483    9.56
 0.28750D+13 0.10630D-07 0.10000D+15   0.0000  0    9.524  0.00000  272.27  274.19   -0.000   93.891    9.52
 0.28875D+13 0.10677D-07 0.10000D+15   0.0000  0    9.483  0.00000  272.27  274.23    0.000   94.299    9.48
 0.29000D+13 0.10723D-07 0.10000D+15   0.0000  0    9.442  0.00000  272.27  274.28   -0.000   94.707    9.44
 0.29125D+13 0.10769D-07 0.10000D+15   0.0000  0    9.401  0.00000  272.28  274.32    0.000   95.115    9.40
 0.29250D+13 0.10815D-07 0.10000D+15   0.0000  0    9.361  0.00000  272.28  274.36    0.000   95.524    9.36
 0.29375D+13 0.11234D-07 0.10000D+15   0.0000  0    9.321  0.00000  272.29  274.40   -0.000   95.932    9.32
 0.29500D+13 0.11281D-07 0.10000D+15   0.0000  0    9.283  0.00000  272.29  274.45    0.000   96.340    9.28
 0.29625D+13 0.11329D-07 0.10000D+15   0.0000  0    9.244  0.00000  272.29  274.49    0.000   96.748    9.24
 0.29750D+13 0.11377D-07 0.10000D+15   0.0000  0    9.206  0.00000  272.30  274.53    0.000   97.157    9.21
 0.29875D+13 0.11425D-07 0.10000D+15   0.0000  0    9.168  0.00000  272.30  274.58   -0.000   97.565    9.17
 0.30000D+13 0.11473D-07 0.10000D+15   0.0000  0    9.130  0.00000  272.30  274.62    0.000   97.973    9.13
