R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   51.52   61.87 0.64103D-09  1  0  0.00000  268.02  267.11 0.10966D+15  2.212    8.769    8.199    6.606   35.569   11.62   13.61   51.16
   51.84   62.27 0.63718D-09  1  0  0.00000  267.99  267.09 0.10948D+15  2.212    8.714    8.145    6.573   35.535   11.62   13.61   51.49
   52.16   62.66 0.63338D-09  1  0  0.00000  267.95  267.07 0.10930D+15  2.213    8.661    8.091    6.540   35.502   11.63   13.61   51.81
   52.49   63.05 0.62962D-09  1  0  0.00000  267.92  267.05 0.10912D+15  2.213    8.608    8.038    6.507   35.468   11.64   13.62   52.14
   52.81   63.44 0.62591D-09  1  0  0.00000  267.88  267.03 0.10894D+15  2.213    8.555    7.986    6.474   35.435   11.64   13.62   52.47
   53.13   63.83 0.62225D-09  1  0  0.00000  267.85  267.01 0.10877D+15  2.213    8.503    7.934    6.441   35.402   11.65   13.62   52.79
   53.45   64.22 0.61863D-09  1  0  0.00000  267.81  267.00 0.10859D+15  2.214    8.452    7.883    6.409   35.369   11.65   13.63   53.12
   53.77   64.61 0.61505D-09  1  0  0.00000  267.78  266.98 0.10841D+15  2.214    8.402    7.833    6.376   35.336   11.66   13.63   53.45
   54.10   65.00 0.61152D-09  1  0  0.00000  267.74  266.96 0.10824D+15  2.214    8.352    7.783    6.344   35.304   11.67   13.63   53.77
   54.42   65.39 0.60803D-09  1  0  0.00000  267.71  266.94 0.10806D+15  2.215    8.302    7.733    6.312   35.272   11.67   13.64   54.10
   54.74   65.78 0.60458D-09  1  0  0.00000  267.67  266.92 0.10789D+15  2.215    8.253    7.685    6.280   35.240   11.68   13.64   54.43
   55.06   66.18 0.60117D-09  1  0  0.00000  267.64  266.90 0.10772D+15  2.215    8.205    7.637    6.249   35.208   11.68   13.65   54.76
   55.38   66.57 0.59780D-09  1  0  0.00000  267.60  266.88 0.10755D+15  2.216    8.158    7.589    6.217   35.176   11.69   13.65   55.08
   55.71   66.96 0.59447D-09  1  0  0.00000  267.57  266.86 0.10738D+15  2.216    8.110    7.542    6.186   35.144   11.69   13.65   55.41
   56.03   67.35 0.59117D-09  1  0  0.00000  267.53  266.84 0.10721D+15  2.216    8.064    7.495    6.155   35.113   11.70   13.66   55.74
   56.35   67.74 0.58792D-09  1  0  0.00000  267.50  266.82 0.10704D+15  2.217    8.018    7.449    6.124   35.082   11.70   13.66   56.06
   56.67   68.13 0.58470D-09  1  0  0.00000  267.46  266.80 0.10687D+15  2.217    7.972    7.404    6.093   35.051   11.71   13.66   56.39
   56.99   68.52 0.58152D-09  1  0  0.00000  267.43  266.78 0.10670D+15  2.217    7.927    7.359    6.062   35.020   11.72   13.67   56.72
   57.32   68.91 0.57837D-09  1  0  0.00000  267.39  266.76 0.10653D+15  2.217    7.883    7.314    6.032   34.989   11.72   13.67   57.05
   57.64   69.31 0.57526D-09  1  0  0.00000  267.36  266.75 0.10637D+15  2.218    7.839    7.271    6.001   34.958   11.73   13.68   57.37
   57.96   69.70 0.57218D-09  1  0  0.00000  267.32  266.73 0.10620D+15  2.218    7.795    7.227    5.971   34.928   11.73   13.68   57.70
   58.28   70.09 0.56914D-09  1  0  0.00000  267.28  266.71 0.10604D+15  2.218    7.752    7.184    5.941   34.898   11.74   13.68   58.03
