R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.15613D-08 0.21125D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  289.20  -26.837   43.830   10.16
 0.15705D-08 0.21250D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  289.36  -27.039   44.049   10.11
 0.15798D-08 0.21375D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  289.52  -27.240   44.269   10.06
 0.15890D-08 0.21500D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  289.69  -27.442   44.488   10.01
 0.15983D-08 0.21625D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  289.85  -27.643   44.708    9.96
 0.16177D-08 0.21750D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  289.96  -27.877   44.885    9.93
 0.16270D-08 0.21875D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  290.13  -28.078   45.105    9.88
 0.16363D-08 0.22000D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  290.29  -28.279   45.325    9.83
 0.16456D-08 0.22125D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  290.45  -28.480   45.545    9.79
 0.16548D-08 0.22250D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  290.61  -28.680   45.765    9.74
 0.16641D-08 0.22375D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  290.77  -28.880   45.986    9.69
 0.16734D-08 0.22500D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  290.93  -29.080   46.207    9.65
 0.16827D-08 0.22625D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  291.09  -29.279   46.428    9.60
 0.17028D-08 0.22750D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  291.19  -29.516   46.602    9.57
 0.17122D-08 0.22875D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  291.35  -29.715   46.823    9.52
 0.17215D-08 0.23000D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  291.51  -29.914   47.045    9.48
