R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.10500D+12 0.17783D+14   0.0150   30.161   28.190   32.255
 0.10500D+12 0.19953D+14   0.0150   30.318   28.343   32.418
 0.10500D+12 0.22387D+14   0.0150   30.477   28.497   32.582
 0.10500D+12 0.25119D+14   0.0150   30.636   28.652   32.746
 0.10500D+12 0.28184D+14   0.0150   30.797   28.810   32.912
 0.10500D+12 0.31623D+14   0.0150   30.959   28.969   33.078
 0.10500D+12 0.35481D+14   0.0150   31.123   29.130   33.245
 0.10500D+12 0.39811D+14   0.0150   31.288   29.294   33.413
 0.10500D+12 0.44668D+14   0.0150   31.454   29.460   33.581
 0.10500D+12 0.50119D+14   0.0150   31.622   29.628   33.750
 0.10500D+12 0.56234D+14   0.0150   31.792   29.798   33.920
 0.10500D+12 0.63096D+14   0.0150   31.963   29.972   34.090
 0.10500D+12 0.70795D+14   0.0150   32.136   30.148   34.261
 0.10500D+12 0.79433D+14   0.0150   32.310   30.327   34.433
 0.10500D+12 0.89125D+14   0.0150   32.487   30.510   34.605
 0.10500D+12 0.10000D+15   0.0150   32.666   30.695   34.778
 0.10500D+12 0.11220D+15   0.0150   32.846   30.884   34.952
 0.10500D+12 0.12589D+15   0.0150   33.029   31.077   35.127
 0.10500D+12 0.14125D+15   0.0150   33.215   31.274   35.302
 0.10500D+12 0.15849D+15   0.0150   33.403   31.476   35.477
 0.10500D+12 0.17783D+15   0.0150   33.594   31.682   35.653
 0.10500D+12 0.19953D+15   0.0150   33.787   31.893   35.830
 0.10500D+12 0.22387D+15   0.0150   33.985   32.109   36.008
 0.10500D+12 0.25119D+15   0.0150   34.185   32.330   36.187
 0.10500D+12 0.28184D+15   0.0150   34.390   32.557   36.368
 0.10500D+12 0.31623D+15   0.0150   34.599   32.789   36.552
 0.10500D+12 0.35481D+15   0.0150   34.813   33.026   36.739
 0.10500D+12 0.39811D+15   0.0150   35.032   33.269   36.931
 0.10500D+12 0.44668D+15   0.0150   35.257   33.517   37.128
 0.10500D+12 0.50119D+15   0.0150   35.489   33.772   37.332
 0.10500D+12 0.56234D+15   0.0150   35.728   34.031   37.543
 0.10500D+12 0.63096D+15   0.0150   35.976   34.298   37.764
 0.10500D+12 0.70795D+15   0.0150   36.232   34.573   37.996
 0.10500D+12 0.79433D+15   0.0150   36.500   34.856   38.239
 0.10500D+12 0.89125D+15   0.0150   36.778   35.148   38.498
 0.10500D+12 0.10000D+16   0.0150   37.069   35.452   38.771
 0.12000D+12 0.10000D+14   0.0150   28.172   26.202   30.269
 0.12000D+12 0.11220D+14   0.0150   28.317   26.341   30.422
 0.12000D+12 0.12589D+14   0.0150   28.464   26.481   30.575
 0.12000D+12 0.14125D+14   0.0150   28.611   26.623   30.729
 0.12000D+12 0.15849D+14   0.0150   28.760   26.767   30.884
 0.12000D+12 0.17783D+14   0.0150   28.909   26.912   31.040
 0.12000D+12 0.19953D+14   0.0150   29.060   27.058   31.196
 0.12000D+12 0.22387D+14   0.0150   29.212   27.206   31.354
 0.12000D+12 0.25119D+14   0.0150   29.366   27.356   31.512
 0.12000D+12 0.28184D+14   0.0150   29.520   27.508   31.670
 0.12000D+12 0.31623D+14   0.0150   29.676   27.661   31.830
 0.12000D+12 0.35481D+14   0.0150   29.833   27.817   31.990
 0.12000D+12 0.39811D+14   0.0150   29.992   27.974   32.150
 0.12000D+12 0.44668D+14   0.0150   30.152   28.135   32.312
 0.12000D+12 0.50119D+14   0.0150   30.313   28.297   32.473
 0.12000D+12 0.56234D+14   0.0150   30.476   28.463   32.636
 0.12000D+12 0.63096D+14   0.0150   30.641   28.631   32.799
 0.12000D+12 0.70795D+14   0.0150   30.808   28.802   32.962
 0.12000D+12 0.79433D+14   0.0150   30.976   28.976   33.125
 0.12000D+12 0.89125D+14   0.0150   31.146   29.153   33.289
 0.12000D+12 0.10000D+15   0.0150   31.318   29.334   33.454
 0.12000D+12 0.11220D+15   0.0150   31.493   29.518   33.620
 0.12000D+12 0.12589D+15   0.0150   31.669   29.707   33.786
 0.12000D+12 0.14125D+15   0.0150   31.849   29.900   33.952
 0.12000D+12 0.15849D+15   0.0150   32.031   30.098   34.119
 0.12000D+12 0.17783D+15   0.0150   32.215   30.301   34.286
 0.12000D+12 0.19953D+15   0.0150   32.404   30.509   34.454
 0.12000D+12 0.22387D+15   0.0150   32.595   30.722   34.622
 0.12000D+12 0.25119D+15   0.0150   32.790   30.940   34.793
 0.12000D+12 0.28184D+15   0.0150   32.990   31.164   34.966
 0.12000D+12 0.31623D+15   0.0150   33.194   31.393   35.141
 0.12000D+12 0.35481D+15   0.0150   33.403   31.628   35.321
 0.12000D+12 0.39811D+15   0.0150   33.618   31.868   35.506
 0.12000D+12 0.44668D+15   0.0150   33.840   32.114   35.697
 0.12000D+12 0.50119D+15   0.0150   34.069   32.366   35.896
 0.12000D+12 0.56234D+15   0.0150   34.306   32.624   36.104
 0.12000D+12 0.63096D+15   0.0150   34.552   32.889   36.323
 0.12000D+12 0.70795D+15   0.0150   34.807   33.162   36.554
 0.12000D+12 0.79433D+15   0.0150   35.074   33.444   36.799
 0.12000D+12 0.89125D+15   0.0150   35.353   33.736   37.059
 0.12000D+12 0.10000D+16   0.0150   35.644   34.038   37.335
 0.13500D+12 0.10000D+14   0.0150   27.057   25.070   29.179
 0.13500D+12 0.11220D+14   0.0150   27.196   25.204   29.326
 0.13500D+12 0.12589D+14   0.0150   27.337   25.339   29.473
