R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   39.61   47.48 0.87342D-09  1  0  0.01509  269.01  267.95 0.11419D+15  2.203   11.384   10.814    6.656   37.347   11.22   13.49   39.19
   39.93   47.88 0.86656D-09  1  0  0.01513  268.97  267.94 0.11400D+15  2.203   11.292   10.722    6.608   37.299   11.23   13.49   39.52
   40.25   48.27 0.85981D-09  1  0  0.01518  268.94  267.92 0.11381D+15  2.204   11.201   10.631    6.561   37.251   11.24   13.49   39.85
   40.57   48.66 0.85316D-09  1  0  0.01522  268.90  267.90 0.11362D+15  2.204   11.112   10.542    6.514   37.204   11.25   13.49   40.18
   40.89   49.05 0.84662D-09  1  0  0.01527  268.86  267.89 0.11344D+15  2.204   11.025   10.455    6.467   37.157   11.26   13.50   40.50
   41.22   49.44 0.84018D-09  1  0  0.01531  268.82  267.87 0.11325D+15  2.205   10.938   10.368    6.420   37.111   11.26   13.50   40.83
   41.54   49.83 0.83384D-09  1  0  0.01536  268.78  267.85 0.11307D+15  2.205   10.853   10.283    6.374   37.064   11.27   13.50   41.16
   41.86   50.22 0.82760D-09  1  0  0.01540  268.74  267.83 0.11289D+15  2.205   10.770   10.200    6.328   37.018   11.28   13.51   41.49
   42.18   50.62 0.82145D-09  1  0  0.01545  268.70  267.82 0.11271D+15  2.206   10.687   10.118    6.283   36.973   11.29   13.51   41.81
   42.50   51.01 0.81540D-09  1  0  0.01549  268.67  267.80 0.11254D+15  2.206   10.606   10.036    6.237   36.927   11.30   13.51   42.14
   42.83   51.40 0.80943D-09  1  0  0.01554  268.63  267.78 0.11236D+15  2.206   10.526    9.957    6.192   36.882   11.31   13.52   42.47
   43.15   51.79 0.80356D-09  1  0  0.01558  268.59  267.76 0.11219D+15  2.207   10.448    9.878    6.147   36.837   11.32   13.52   42.80
   43.47   52.18 0.79778D-09  1  0  0.01563  268.55  267.74 0.11201D+15  2.207   10.370    9.800    6.103   36.792   11.33   13.52   43.13
   43.79   52.58 0.79207D-09  1  0  0.01568  268.51  267.73 0.11184D+15  2.207   10.294    9.724    6.059   36.748   11.34   13.53   43.46
   44.11   52.97 0.78646D-09  1  0  0.01572  268.47  267.71 0.11167D+15  2.208   10.218    9.649    6.014   36.704   11.34   13.53   43.78
   44.44   53.36 0.78092D-09  1  0  0.01577  268.43  267.69 0.11150D+15  2.208   10.144    9.575    5.971   36.660   11.35   13.53   44.11
   44.76   53.75 0.77546D-09  1  0  0.01582  268.39  267.67 0.11134D+15  2.208   10.071    9.502    5.927   36.617   11.36   13.54   44.44
   45.08   54.14 0.77008D-09  1  0  0.01587  268.35  267.65 0.11117D+15  2.209    9.999    9.429    5.883   36.573   11.37   13.54   44.77
   45.40   54.54 0.76478D-09  1  0  0.01591  268.31  267.63 0.11101D+15  2.209    9.927    9.358    5.840   36.530   11.38   13.54   45.10
   45.72   54.93 0.75955D-09  1  0  0.01596  268.28  267.61 0.11085D+15  2.209    9.857    9.288    5.797   36.487   11.39   13.55   45.43
   46.05   55.32 0.75440D-09  1  0  0.01601  268.24  267.59 0.11068D+15  2.210    9.788    9.219    5.754   36.445   11.39   13.55   45.76
   46.37   55.71 0.74932D-09  1  0  0.01606  268.20  267.57 0.11052D+15  2.210    9.720    9.151    5.712   36.402   11.40   13.56   46.09
   46.69   56.10 0.74430D-09  1  0  0.01611  268.16  267.55 0.11037D+15  2.210    9.653    9.084    5.670   36.360   11.41   13.56   46.41
   47.01   56.50 0.73936D-09  1  0  0.01616  268.12  267.54 0.11021D+15  2.211    9.586    9.018    5.627   36.318   11.42   13.56   46.74
   47.33   56.89 0.73448D-09  1  0  0.01621  268.08  267.52 0.11005D+15  2.211    9.521    8.952    5.585   36.277   11.43   13.57   47.07
   47.66   57.28 0.72967D-09  1  0  0.01626  268.04  267.50 0.10990D+15  2.211    9.456    8.888    5.544   36.235   11.43   13.57   47.40
   47.98   57.67 0.72493D-09  1  0  0.01631  268.00  267.47 0.10974D+15  2.212    9.393    8.824    5.502   36.194   11.44   13.58   47.73
   48.30   58.07 0.72024D-09  1  0  0.01636  267.96  267.45 0.10959D+15  2.212    9.330    8.761    5.461   36.153   11.45   13.58   48.06
   48.62   58.46 0.71562D-09  1  0  0.01641  267.92  267.43 0.10944D+15  2.213    9.268    8.699    5.419   36.112   11.46   13.59   48.39
   48.94   58.85 0.71106D-09  1  0  0.01646  267.88  267.41 0.10929D+15  2.213    9.207    8.638    5.378   36.071   11.47   13.59   48.72
   49.27   59.25 0.70656D-09  1  0  0.01651  267.84  267.39 0.10914D+15  2.213    9.146    8.578    5.337   36.031   11.47   13.60   49.05
   49.59   59.64 0.70212D-09  1  0  0.01656  267.80  267.37 0.10900D+15  2.214    9.086    8.518    5.297   35.990   11.48   13.60   49.38
   49.91   60.03 0.69774D-09  1  0  0.01662  267.75  267.35 0.10885D+15  2.214    9.028    8.460    5.256   35.950   11.49   13.61   49.71
   50.23   60.42 0.69341D-09  1  0  0.01667  267.71  267.33 0.10871D+15  2.214    8.969    8.402    5.216   35.910   11.50   13.61   50.04
   50.55   60.82 0.68914D-09  1  0  0.01672  267.67  267.31 0.10856D+15  2.215    8.912    8.344    5.175   35.870   11.50   13.62   50.37
   50.88   61.21 0.68492D-09  1  0  0.01677  267.63  267.29 0.10842D+15  2.215    8.855    8.288    5.135   35.831   11.51   13.62   50.70
   51.20   61.60 0.68075D-09  1  0  0.01683  267.59  267.27 0.10828D+15  2.215    8.799    8.232    5.095   35.791   11.52   13.63   51.03
   51.52   62.00 0.67664D-09  1  0  0.01688  267.55  267.24 0.10814D+15  2.216    8.744    8.177    5.056   35.752   11.53   13.63   51.36
   51.84   62.39 0.67258D-09  1  0  0.01693  267.51  267.22 0.10800D+15  2.216    8.690    8.122    5.016   35.713   11.53   13.64   51.69
   52.16   62.78 0.66856D-09  1  0  0.01699  267.47  267.20 0.10786D+15  2.216    8.636    8.068    4.976   35.674   11.54   13.64   52.02
   52.49   63.18 0.66460D-09  1  0  0.01704  267.43  267.18 0.10773D+15  2.217    8.582    8.015    4.937   35.635   11.55   13.65   52.35
   52.81   63.57 0.66069D-09  1  0  0.01710  267.39  267.16 0.10759D+15  2.217    8.530    7.962    4.898   35.597   11.55   13.65   52.69
   53.13   63.96 0.65682D-09  1  0  0.01715  267.34  267.13 0.10746D+15  2.217    8.478    7.911    4.859   35.558   11.56   13.66   53.02
   53.45   64.36 0.65300D-09  1  0  0.01721  267.30  267.11 0.10733D+15  2.218    8.426    7.859    4.820   35.520   11.57   13.66   53.35
   53.77   64.75 0.64922D-09  1  0  0.01727  267.26  267.09 0.10719D+15  2.218    8.376    7.809    4.781   35.482   11.58   13.67   53.68
   54.10   65.15 0.64549D-09  1  0  0.01732  267.22  267.07 0.10706D+15  2.219    8.326    7.759    4.742   35.444   11.58   13.67   54.01
   54.42   65.54 0.64181D-09  1  0  0.01738  267.18  267.04 0.10693D+15  2.219    8.276    7.709    4.704   35.406   11.59   13.68   54.34
   54.74   65.93 0.63817D-09  1  0  0.01743  267.14  267.02 0.10681D+15  2.219    8.227    7.660    4.665   35.368   11.60   13.68   54.68
   55.06   66.33 0.63457D-09  1  0  0.01749  267.09  267.00 0.10668D+15  2.220    8.179    7.612    4.627   35.331   11.60   13.69   55.01
   55.38   66.72 0.63101D-09  1  0  0.01755  267.05  266.97 0.10655D+15  2.220    8.131    7.564    4.588   35.293   11.61   13.70   55.34
   55.71   67.12 0.62749D-09  1  0  0.01761  267.01  266.95 0.10643D+15  2.220    8.083    7.517    4.550   35.256   11.62   13.70   55.67
   56.03   67.51 0.62402D-09  1  0  0.01767  266.97  266.93 0.10630D+15  2.221    8.037    7.470    4.512   35.219   11.62   13.71   56.00
   56.35   67.91 0.62058D-09  1  0  0.01772  266.93  266.90 0.10618D+15  2.221    7.990    7.424    4.474   35.182   11.63   13.71   56.34
   56.67   68.30 0.61718D-09  1  0  0.01778  266.88  266.88 0.10606D+15  2.221    7.945    7.378    4.436   35.145   11.64   13.72   56.67
   56.99   68.69 0.61382D-09  1  0  0.01784  266.84  266.86 0.10594D+15  2.222    7.899    7.333    4.398   35.108   11.65   13.72   56.99
   57.32   69.08 0.61050D-09  1  0  0.01790  266.80  266.83 0.10582D+15  2.222    7.855    7.289    4.361   35.071   11.65   13.73   57.32
   57.64   69.47 0.60722D-09  1  0  0.01796  266.75  266.81 0.10570D+15  2.223    7.811    7.244    4.323   35.035   11.66   13.74   57.64
   57.96   69.85 0.60397D-09  1  0  0.01802  266.71  266.78 0.10558D+15  2.223    7.767    7.201    4.286   34.998   11.67   13.74   57.96
   58.28   70.24 0.60076D-09  1  0  0.01808  266.67  266.76 0.10546D+15  2.223    7.724    7.158    4.248   34.962   11.67   13.75   58.28
