R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.20375D+13 0.76373D-09 0.32000D+13   0.0300  1  101.108  0.06500  255.48  262.23    0.000   66.540    4.82
 0.20500D+13 0.77071D-09 0.32000D+13   0.0300  1  100.786  0.06463  255.59  262.39    0.000   66.948    4.80
 0.20625D+13 0.78007D-09 0.32000D+13   0.0300  1  100.142  0.06390  255.81  262.58    0.000   67.356    4.78
 0.20750D+13 0.78954D-09 0.32000D+13   0.0300  1   99.498  0.06319  256.03  262.77   -0.000   67.765    4.76
 0.20875D+13 0.79671D-09 0.32000D+13   0.0300  1   99.176  0.06284  256.14  262.92   -0.000   68.173    4.73
 0.21000D+13 0.80638D-09 0.32000D+13   0.0300  1   98.532  0.06215  256.35  263.11    0.000   68.581    4.71
 0.21125D+13 0.81367D-09 0.32000D+13   0.0300  1   98.210  0.06181  256.45  263.26    0.000   68.989    4.69
 0.21250D+13 0.82354D-09 0.32000D+13   0.0300  1   97.566  0.06114  256.66  263.44    0.000   69.397    4.67
 0.21375D+13 0.83095D-09 0.32000D+13   0.0300  1   97.244  0.06081  256.76  263.58   -0.000   69.806    4.65
 0.21500D+13 0.84103D-09 0.32000D+13   0.0300  1   96.600  0.06016  256.96  263.76   -0.000   70.214    4.63
 0.21625D+13 0.85124D-09 0.32000D+13   0.0300  1   95.956  0.05952  257.16  263.94   -0.000   70.622    4.61
 0.21750D+13 0.85886D-09 0.32000D+13   0.0300  1   95.634  0.05921  257.26  264.08   -0.000   71.030    4.59
 0.21875D+13 0.86929D-09 0.32000D+13   0.0300  1   94.990  0.05859  257.46  264.25    0.000   71.439    4.57
 0.22000D+13 0.87985D-09 0.32000D+13   0.0300  1   94.346  0.05799  257.65  264.42   -0.000   71.847    4.55
 0.22125D+13 0.88769D-09 0.32000D+13   0.0300  1   94.024  0.05769  257.74  264.56    0.000   72.255    4.54
 0.22250D+13 0.89849D-09 0.32000D+13   0.0300  1   93.380  0.05710  257.93  264.73   -0.000   72.663    4.52
 0.22375D+13 0.90943D-09 0.32000D+13   0.0300  1   92.736  0.05653  258.11  264.89    0.000   73.071    4.50
 0.22500D+13 0.92051D-09 0.32000D+13   0.0300  1   92.092  0.05596  258.30  265.05   -0.000   73.480    4.48
 0.22625D+13 0.92868D-09 0.32000D+13   0.0300  1   91.770  0.05568  258.39  265.18   -0.000   73.888    4.47
 0.22750D+13 0.94002D-09 0.32000D+13   0.0300  1   91.126  0.05513  258.56  265.34    0.000   74.296    4.45
 0.22875D+13 0.95151D-09 0.32000D+13   0.0300  1   90.482  0.05459  258.74  265.50    0.000   74.704    4.43
 0.23000D+13 0.96316D-09 0.32000D+13   0.0300  1   89.838  0.05407  258.91  265.65    0.000   75.112    4.42
 0.23125D+13 0.97498D-09 0.32000D+13   0.0300  1   89.194  0.05355  259.08  265.81    0.000   75.521    4.40
 0.23250D+13 0.98359D-09 0.32000D+13   0.0300  1   88.872  0.05329  259.17  265.93    0.000   75.929    4.38
 0.23375D+13 0.99568D-09 0.32000D+13   0.0300  1   88.228  0.05279  259.34  266.08   -0.000   76.337    4.37
 0.23500D+13 0.10079D-08 0.32000D+13   0.0300  1   87.584  0.05229  259.50  266.23   -0.000   76.745    4.35
 0.23625D+13 0.10204D-08 0.32000D+13   0.0300  1   86.940  0.05180  259.67  266.37    0.000   77.154    4.34
 0.23750D+13 0.10330D-08 0.32000D+13   0.0300  1   86.296  0.05132  259.83  266.52    0.000   77.562    4.32
 0.23875D+13 0.10458D-08 0.32000D+13   0.0300  1   85.652  0.05085  259.99  266.66   -0.000   77.970    4.31
 0.24000D+13 0.10588D-08 0.32000D+13   0.0300  1   85.008  0.05039  260.15  266.80   -0.000   78.378    4.30
 0.24125D+13 0.10720D-08 0.32000D+13   0.0300  1   84.364  0.04994  260.30  266.93    0.000   78.786    4.28
 0.24250D+13 0.10854D-08 0.32000D+13   0.0300  1   83.720  0.04949  260.46  267.07   -0.000   79.195    4.27
 0.24375D+13 0.10950D-08 0.32000D+13   0.0300  1   83.398  0.04927  260.53  267.19    0.000   79.603    4.25
 0.24500D+13 0.11087D-08 0.32000D+13   0.0300  1   82.754  0.04884  260.69  267.32    0.000   80.011    4.24
 0.24625D+13 0.11226D-08 0.32000D+13   0.0300  1   82.110  0.04841  260.84  267.45    0.000   80.419    4.23
 0.24750D+13 0.11367D-08 0.32000D+13   0.0300  1   81.466  0.04799  260.98  267.58   -0.000   80.828    4.22
 0.24875D+13 0.11511D-08 0.32000D+13   0.0300  1   80.822  0.04757  261.13  267.71    0.000   81.236    4.20
 0.25000D+13 0.11657D-08 0.32000D+13   0.0300  1   80.178  0.04717  261.28  267.83    0.000   81.644    4.19
 0.25125D+13 0.11850D-08 0.32000D+13   0.0300  1   79.212  0.04657  261.49  267.97    0.000   82.052    4.18
 0.25250D+13 0.12002D-08 0.32000D+13   0.0300  1   78.568  0.04618  261.63  268.09   -0.000   82.460    4.17
 0.25375D+13 0.12156D-08 0.32000D+13   0.0300  1   77.924  0.04579  261.77  268.21   -0.000   82.869    4.16
 0.25500D+13 0.12313D-08 0.32000D+13   0.0300  1   77.280  0.04541  261.91  268.33   -0.000   83.277    4.15
 0.25625D+13 0.12472D-08 0.32000D+13   0.0300  1   76.636  0.04504  262.05  268.45    0.000   83.685    4.13
 0.25750D+13 0.12633D-08 0.32000D+13   0.0300  1   75.992  0.04467  262.19  268.56    0.000   84.093    4.12
 0.25875D+13 0.12798D-08 0.32000D+13   0.0300  1   75.348  0.04431  262.32  268.67   -0.000   84.502    4.11
 0.26000D+13 0.12965D-08 0.32000D+13   0.0300  1   74.704  0.04396  262.45  268.79    0.000   84.910    4.10
 0.26125D+13 0.13135D-08 0.32000D+13   0.0300  1   74.060  0.04360  262.58  268.89   -0.000   85.318    4.09
 0.26250D+13 0.13308D-08 0.32000D+13   0.0300  1   73.416  0.04326  262.72  269.00   -0.000   85.726    4.08
 0.26375D+13 0.13541D-08 0.32000D+13   0.0300  1   72.450  0.04275  262.91  269.12    0.000   86.134    4.07
 0.26500D+13 0.13722D-08 0.32000D+13   0.0300  1   71.806  0.04242  263.04  269.22    0.000   86.543    4.06
 0.26625D+13 0.13906D-08 0.32000D+13   0.0300  1   71.162  0.04209  263.16  269.32   -0.000   86.951    4.05
 0.26750D+13 0.14092D-08 0.32000D+13   0.0300  1   70.518  0.04177  263.29  269.42    0.000   87.359    4.04
 0.26875D+13 0.14283D-08 0.32000D+13   0.0300  1   69.874  0.04145  263.41  269.52   -0.000   87.767    4.03
 0.27000D+13 0.14477D-08 0.32000D+13   0.0300  1   69.230  0.04113  263.54  269.62    0.000   88.176    4.03
 0.27125D+13 0.14740D-08 0.32000D+13   0.0300  1   68.264  0.04067  263.72  269.72    0.000   88.584    4.02
 0.27250D+13 0.14943D-08 0.32000D+13   0.0300  1   67.620  0.04037  263.84  269.82    0.000   88.992    4.01
