R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   31.56   37.77 0.11480D-08  1  0  0.02828  269.40  268.34 0.11916D+15  2.199   14.245   13.675    6.315   38.720   10.90   13.63   31.12
   31.88   38.16 0.11366D-08  1  0  0.02836  269.36  268.33 0.11896D+15  2.200   14.101   13.531    6.252   38.657   10.91   13.63   31.45
   32.20   38.55 0.11255D-08  1  0  0.02843  269.32  268.31 0.11875D+15  2.200   13.959   13.390    6.189   38.594   10.93   13.63   31.78
   32.52   38.95 0.11145D-08  1  0  0.02851  269.27  268.30 0.11855D+15  2.200   13.821   13.251    6.127   38.532   10.94   13.62   32.11
   32.84   39.34 0.11039D-08  1  0  0.02859  269.23  268.28 0.11835D+15  2.201   13.685   13.115    6.065   38.470   10.95   13.62   32.44
   33.17   39.73 0.10934D-08  1  0  0.02867  269.19  268.27 0.11815D+15  2.201   13.551   12.982    6.004   38.409   10.97   13.62   32.77
   33.49   40.12 0.10831D-08  1  0  0.02875  269.15  268.25 0.11795D+15  2.201   13.421   12.851    5.943   38.349   10.98   13.62   33.10
   33.81   40.52 0.10730D-08  1  0  0.02883  269.11  268.24 0.11776D+15  2.202   13.292   12.723    5.883   38.288   10.99   13.62   33.43
   34.13   40.91 0.10631D-08  1  0  0.02891  269.06  268.22 0.11757D+15  2.202   13.166   12.597    5.823   38.229   11.00   13.62   33.76
   34.45   41.30 0.10534D-08  1  0  0.02899  269.02  268.20 0.11739D+15  2.203   13.043   12.473    5.763   38.169   11.01   13.62   34.09
   34.78   41.69 0.10438D-08  1  0  0.02907  268.98  268.19 0.11720D+15  2.203   12.921   12.352    5.704   38.111   11.03   13.62   34.42
   35.10   42.09 0.10345D-08  1  0  0.02915  268.93  268.17 0.11702D+15  2.203   12.802   12.233    5.645   38.052   11.04   13.62   34.75
   35.42   42.48 0.10253D-08  1  0  0.02924  268.89  268.15 0.11684D+15  2.204   12.685   12.116    5.587   37.994   11.05   13.62   35.08
   35.74   42.87 0.10162D-08  1  0  0.02932  268.85  268.13 0.11666D+15  2.204   12.570   12.001    5.529   37.936   11.06   13.62   35.41
   36.06   43.27 0.10074D-08  1  0  0.02940  268.80  268.12 0.11649D+15  2.204   12.458   11.889    5.472   37.879   11.07   13.62   35.74
   36.39   43.66 0.99868D-09  1  0  0.02948  268.76  268.10 0.11631D+15  2.205   12.347   11.778    5.414   37.822   11.08   13.63   36.07
   36.71   44.05 0.99012D-09  1  0  0.02957  268.72  268.08 0.11614D+15  2.205   12.238   11.669    5.357   37.766   11.09   13.63   36.40
   37.03   44.45 0.98172D-09  1  0  0.02965  268.67  268.06 0.11598D+15  2.205   12.131   11.562    5.301   37.710   11.11   13.63   36.73
   37.35   44.84 0.97346D-09  1  0  0.02974  268.63  268.04 0.11581D+15  2.206   12.026   11.457    5.245   37.654   11.12   13.63   37.06
   37.67   45.24 0.96534D-09  1  0  0.02982  268.59  268.02 0.11565D+15  2.206   11.922   11.354    5.189   37.599   11.13   13.63   37.39
   38.00   45.63 0.95735D-09  1  0  0.02991  268.54  268.01 0.11548D+15  2.207   11.821   11.252    5.133   37.544   11.14   13.64   37.72
